coords,sentiment
11.02292/119.291801,-2
11.12167/125.335831,1
15.42119/120.172684,0
11.33877/124.552177,1
11.33877/124.552177,-2
11.69361/124.831947,1
11.02292/119.291801,-2
11.11/125.439079,1
11.33877/124.552177,0
7.44716/126.557716,-2
11.33877/124.552177,-2
12.09032/125.47921,0
10.77604/125.957024,-2
10.06127/122.805679,0
11.33877/124.552177,-2
11.33877/124.552177,-2
10.9444/122.484444,1
12.09032/125.47921,0
10.9444/122.484444,1
10.9444/122.484444,1
10.9444/122.484444,1
11.69361/124.831947,-2
10.77604/125.957024,1
10.77604/125.957024,-2
6.00611/120.90107,1
9.5981/124.24334,1
10.12683/123.68766,2
11.47454/124.518044,0
11.33877/124.552177,-2
10.62794/124.444077,0
9.96/125.61573,1
10.77604/125.957024,1
10.77604/125.957024,1
11.33877/124.552177,1
10.77604/125.957024,1
10.77604/125.957024,1
10.77604/125.957024,-2
6.00611/120.90107,2
10.77604/125.957024,1
15.42119/120.172684,2
13.07567/124.134247,-2
7.44716/126.557716,-2
10.77604/125.957024,1
11.69361/124.831947,1
10.9444/122.484444,1
10.9444/122.484444,1
11.69361/124.831947,1
10.77604/125.957024,-2
11.69361/124.831947,1
9.96/125.61573,1
11.33877/124.552177,-2
11.33877/124.552177,-2
11.33877/124.552177,-2
10.77604/125.957024,1
11.09056/123.649437,-2
11.33877/124.552177,-2
11.33877/124.552177,0
11.47454/124.518044,0
9.96/125.61573,0
10.77604/125.957024,-2
10.77604/125.957024,-2
11.69361/124.831947,1
9.96/125.61573,0
11.33877/124.552177,2
10.77604/125.957024,-2
11.69361/124.831947,2
10.77604/125.957024,0
10.77604/125.957024,-2
9.96/125.61573,-2
11.69361/124.831947,0
11.69361/124.831947,0
11.69361/124.831947,-2
9.96/125.61573,-2
10.77604/125.957024,1
17.48101/120.482536,1
17.48101/120.482536,1
9.54399/125.6045,-2
7.44716/126.557716,2
11.02292/119.291801,-2
9.96/125.61573,-2
9.96/125.61573,0
10.77604/125.957024,1
10.77604/125.957024,-2
17.48101/120.482536,1
9.96/125.61573,0
11.33877/124.552177,0
11.69361/124.831947,1
10.77604/125.957024,-2
10.77604/125.957024,-2
10.99545/125.040108,-2
10.77604/125.957024,-2
10.99545/125.040108,-2
11.33877/124.552177,2
14.04749/120.801361,0
9.96/125.61573,0
11.69361/124.831947,-2
10.77604/125.957024,-2
14.82681/120.624443,-2
10.77604/125.957024,-2
10.77604/125.957024,-2
10.77604/125.957024,-2
11.201722/122.1762038,-2
13.0447071/123.6577761,2
14.4333272/120.9741053,1
10.2594754/123.7647381,0
10.5470262/124.7434968,1
45.452256/73.687049,1
14.542797/121.0518106,2
10.9533981/124.4758848,0
10.3360323/124.7224949,0
10.5470262/124.7434968,1
11.5046982/124.3892082,-2
8.7765333/125.4480073,0
14.5893763/120.989705,-2
